3
5
17
17, 39, 1, 11
17, 20, 15, 21
10, 16, 17, 12
18, 23, 12, 20
19, 39, 10, 6
6, 17, 3, 5
2, 7, 10, 19
5, 8, 10, 16
4, 18, 15, 14
0, 18, 18, 21
18, 26, 12, 8
15, 23, 3, 14
7, 28, 17, 20
2, 19, 7, 8
2, 10, 17, 15
8, 18, 4, 16
6, 22, 13, 5
4, 10, 6, 7
10, 26, 15, 11
13, 27, 3, 5
5, 14, 8, 12
10, 18, 4, 18
7, 21, 14, 18
17, 23, 11, 15
3, 14, 3, 17
17, 38, 7, 5
9, 22, 13, 6
8, 11, 7, 11
8, 14, 11, 19
0, 9, 12, 16
18, 23, 13, 15
14, 30, 6, 12
8, 30, 16, 19
18, 40, 12, 16
15, 37, 3, 6
7, 23, 3, 21
16, 25, 17, 20
4, 9, 19, 24
1, 20, 18, 14
17, 23, 11, 19
12, 17, 15, 9
12, 32, 4, 13
2, 23, 15, 6
6, 25, 1, 13
17, 36, 7, 19
7, 14, 11, 21
13, 16, 4, 20
17, 26, 3, 14
9, 30, 16, 14
17, 34, 1, 10
14, 30, 3, 12
10, 32, 13, 21
10, 21, 1, 14
16, 33, 7, 11
4, 14, 4, 6
4, 13, 4, 13
5, 24, 8, 8
6, 22, 12, 13
12, 29, 17, 9
17, 31, 1, 21
13, 35, 18, 21
18, 30, 2, 22
3, 18, 16, 15
10, 23, 1, 22
5, 11, 15, 16
18, 40, 13, 14
10, 30, 11, 10
15, 34, 19, 13
17, 25, 14, 13
0, 18, 8, 17
9, 20, 19, 24
0, 6, 9, 7
11, 24, 3, 10
15, 24, 2, 23
2, 13, 9, 5
15, 32, 3, 5
2, 5, 9, 17
1, 19, 13, 11
10, 17, 4, 10
11, 32, 13, 16
7, 17, 4, 9
2, 15, 16, 8
10, 25, 12, 20
10, 29, 18, 19
8, 20, 3, 19
15, 18, 2, 21
2, 20, 17, 17
3, 17, 1, 19
12, 31, 9, 10
8, 19, 5, 19
4, 15, 16, 14
11, 30, 10, 19
6, 16, 14, 20
15, 37, 2, 9
5, 17, 7, 12
16, 25, 8, 22
7, 19, 18, 9
8, 24, 16, 16
16, 26, 8, 11
7, 10, 15, 24
