2
19
13
100
12, 26, 7, 24
12, 25, 12, 31
18, 32, 12, 34
4, 14, 14, 37
7, 16, 7, 31
13, 18, 11, 35
0, 17, 19, 38
0, 12, 13, 32
13, 19, 19, 30
16, 28, 6, 24
19, 26, 12, 33
3, 17, 4, 21
19, 39, 17, 37
6, 24, 6, 21
18, 29, 19, 34
9, 16, 16, 23
11, 28, 13, 26
13, 20, 11, 26
11, 17, 7, 31
6, 11, 13, 33
3, 11, 13, 36
6, 24, 14, 33
1, 16, 15, 36
3, 20, 8, 22
18, 23, 15, 31
0, 8, 13, 33
5, 19, 2, 33
9, 27, 17, 36
7, 16, 8, 20
9, 29, 6, 26
11, 20, 5, 26
5, 10, 4, 36
2, 19, 7, 26
16, 36, 14, 22
2, 18, 15, 36
19, 37, 18, 36
3, 19, 4, 29
5, 19, 6, 22
8, 16, 8, 26
3, 6, 10, 23
8, 14, 11, 32
16, 21, 18, 26
2, 23, 14, 19
17, 28, 7, 30
14, 24, 4, 35
9, 12, 18, 32
14, 21, 8, 20
3, 8, 5, 30
8, 15, 16, 25
7, 15, 19, 22
16, 35, 5, 30
10, 12, 9, 35
15, 23, 19, 28
17, 37, 16, 33
5, 19, 7, 33
14, 23, 12, 34
8, 16, 2, 23
6, 20, 2, 27
17, 20, 7, 36
3, 10, 14, 38
9, 12, 18, 31
14, 28, 19, 25
14, 27, 14, 37
8, 22, 5, 19
17, 26, 13, 35
5, 23, 12, 31
4, 12, 1, 24
8, 18, 7, 29
12, 19, 7, 24
5, 10, 13, 26
18, 20, 13, 37
6, 19, 6, 27
11, 18, 15, 25
14, 23, 14, 20
11, 28, 2, 37
1, 20, 19, 23
6, 26, 4, 30
15, 35, 19, 30
3, 17, 15, 27
4, 19, 1, 26
3, 20, 4, 20
12, 31, 13, 27
0, 18, 2, 35
0, 10, 8, 25
18, 20, 3, 21
11, 19, 2, 27
10, 14, 16, 29
1, 7, 9, 21
11, 24, 11, 23
8, 24, 7, 34
7, 24, 18, 25
3, 9, 14, 24
3, 17, 2, 28
9, 11, 14, 29
15, 35, 17, 37
8, 13, 19, 35
15, 21, 8, 20
8, 23, 11, 32
14, 17, 1, 37
2, 16, 1, 31
